start_time,end_time,instrument,note,start_beat,end_beat,note_value
3038,21982,1,64,0.0,0.5,Quarter
21982,32222,1,72,0.5,0.5,Quarter
21982,32222,1,57,0.5,0.5,Quarter
21982,64478,41,64,0.5,2.0,Whole
32222,42974,1,71,1.0,0.5,Quarter
32222,42974,1,59,1.0,0.5,Quarter
42974,53214,1,69,1.5,0.5,Quarter
42974,53214,1,60,1.5,0.5,Quarter
53214,64478,1,62,2.0,0.5,Quarter
53214,64478,1,68,2.0,0.5,Quarter
64478,73182,1,69,2.5,0.5,Quarter
64478,73182,1,60,2.5,0.5,Quarter
64478,102366,41,64,2.5,2.0,Whole
73182,81886,1,71,3.0,0.5,Quarter
73182,81886,1,59,3.0,0.5,Quarter
81886,92126,1,57,3.5,0.5,Quarter
81886,92126,1,72,3.5,0.5,Quarter
92126,99806,1,69,4.0,0.3984375,Dotted Eighth
92126,99806,1,60,4.0,0.3984375,Dotted Eighth
102366,131038,41,64,4.5,2.0,Whole
102366,112606,1,59,4.5,0.5,Quarter
102366,112606,1,74,4.5,0.5,Quarter
112606,121310,1,72,5.0,0.5,Quarter
112606,121310,1,57,5.0,0.5,Quarter
121310,129501,1,71,5.5,0.5,Quarter
121310,129501,1,56,5.5,0.5,Quarter
129501,131038,1,54,6.0,0.5,Quarter
129501,131038,1,70,6.0,0.5,Quarter
131038,136158,1,71,6.5,0.5,Quarter
131038,162782,41,64,6.5,2.0,Whole
131038,136158,1,56,6.5,0.5,Quarter
136158,146398,1,72,7.0,0.5,Quarter
136158,146398,1,57,7.0,0.5,Quarter
146398,156638,1,74,7.5,0.5,Quarter
146398,156638,1,59,7.5,0.5,Quarter
156638,162782,1,56,8.0,0.3984375,Dotted Eighth
156638,162782,1,71,8.0,0.3984375,Dotted Eighth
162782,170462,41,64,8.5,0.5,Quarter
162782,170462,1,57,8.5,0.5,Quarter
162782,170462,1,72,8.5,0.5,Quarter
170462,178142,1,73,9.0,0.5,Quarter
170462,178142,1,55,9.0,0.5,Quarter
170462,186846,41,69,9.0,1.0,Half
178142,186846,1,74,9.5,0.5,Quarter
178142,186846,1,53,9.5,0.5,Quarter
186846,204254,41,69,10.0,1.0,Half
186846,197086,1,52,10.0,0.5,Quarter
186846,195550,1,76,10.0,0.3984375,Dotted Eighth
197086,217566,1,77,10.5,1.25,Half
197086,204254,1,50,10.5,0.5,Quarter
204254,223198,41,69,11.0,1.0,Half
204254,213982,1,49,11.0,0.5,Quarter
213982,223198,1,50,11.5,0.5,Quarter
217566,223198,1,76,11.75,0.25,Eighth
223198,235998,41,69,12.0,0.748046875,Dotted Quarter
223198,229341,1,52,12.0,0.3984375,Dotted Eighth
223198,228318,1,74,12.0,0.25,Eighth
228318,229854,1,72,12.25,0.19921875,Dotted Sixteenth
230878,235998,1,53,12.5,0.248046875,Eighth
230878,235998,1,71,12.5,0.25,Eighth
235998,238558,1,72,12.75,0.25,Eighth
238558,242654,41,69,13.0,0.248046875,Eighth
238558,242654,1,71,13.0,0.25,Eighth
238558,242654,1,53,13.0,0.248046875,Eighth
242654,246238,1,72,13.25,0.25,Eighth
246238,252381,1,69,13.5,0.25,Eighth
246238,252381,1,51,13.5,0.248046875,Eighth
246238,252381,41,66,13.5,0.248046875,Eighth
252381,253918,1,71,13.75,0.25,Eighth
253918,255966,1,69,14.0,0.25,Eighth
253918,255966,41,66,14.0,0.248046875,Eighth
253918,255966,1,51,14.0,0.248046875,Eighth
255966,259038,1,71,14.25,0.19921875,Dotted Sixteenth
260574,270302,41,59,14.5,0.5,Quarter
260574,266206,1,68,14.5,0.25,Eighth
260574,270302,1,52,14.5,0.5,Quarter
266206,270302,1,69,14.75,0.25,Eighth
270302,274910,1,71,15.0,0.25,Eighth
274910,277982,1,68,15.25,0.19921875,Dotted Sixteenth
279518,284126,1,64,15.5,0.248046875,Eighth
287710,297950,41,64,16.0,0.5,Quarter
297950,303582,1,57,16.5,0.25,Eighth
297950,306654,41,72,16.5,0.5,Quarter
297950,306654,1,45,16.5,0.5,Quarter
303582,306654,1,64,16.75,0.25,Eighth
