start_time,end_time,instrument,note,start_beat,end_beat,note_value
9182,17374,42,53,2.0,0.6,Eighth
9182,17374,41,57,2.0,0.6,Eighth
18398,20446,41,57,2.75,0.15,Triplet Sixteenth
18398,20446,42,53,2.75,0.15,Triplet Sixteenth
22494,27614,42,53,3.0,0.3,Triplet
22494,27614,41,57,3.0,0.3,Triplet
31198,45022,41,57,3.5,0.8,Dotted Eighth
31198,45022,42,53,3.5,0.8,Dotted Eighth
48606,53725,41,57,4.5,0.3,Triplet
48606,53725,42,53,4.5,0.3,Triplet
57310,61918,41,57,5.0,0.3,Triplet
57310,61918,42,53,5.0,0.3,Triplet
65502,70622,41,57,5.5,0.3,Triplet
65502,70622,42,53,5.5,0.3,Triplet
74206,84446,41,57,6.0,0.6,Eighth
74206,84446,42,53,6.0,0.6,Eighth
85982,88030,41,57,6.75,0.15,Triplet Sixteenth
85982,88030,42,53,6.75,0.15,Triplet Sixteenth
90078,95198,41,57,7.0,0.3,Triplet
90078,95198,42,53,7.0,0.3,Triplet
97758,109022,41,57,7.5,0.8,Dotted Eighth
97758,109022,42,53,7.5,0.8,Dotted Eighth
112606,117726,41,57,8.5,0.3,Triplet
112606,117726,42,53,8.5,0.3,Triplet
121310,126430,41,57,9.0,0.3,Triplet
121310,126430,42,53,9.0,0.3,Triplet
130014,135134,41,57,9.5,0.3,Triplet
130014,135134,42,53,9.5,0.3,Triplet
138718,148446,41,57,10.0,0.6,Eighth
138718,148446,41,72,10.0,0.6,Eighth
138718,148446,42,53,10.0,0.6,Eighth
151006,153566,41,57,10.75,0.15,Triplet Sixteenth
151006,153566,41,74,10.75,0.15,Triplet Sixteenth
151006,153566,42,53,10.75,0.15,Triplet Sixteenth
155102,159710,41,57,11.0,0.3,Triplet
155102,159710,41,77,11.0,0.3,Triplet
155102,159710,42,53,11.0,0.3,Triplet
163294,176094,42,53,11.5,0.8,Dotted Eighth
163294,167902,41,74,11.5,0.3,Triplet
163294,176094,41,57,11.5,0.8,Dotted Eighth
170974,176094,41,72,12.0,0.3,Triplet
179677,184798,41,69,12.5,0.3,Triplet
179677,184798,41,57,12.5,0.3,Triplet
179677,184798,42,53,12.5,0.3,Triplet
188382,193502,42,53,13.0,0.3,Triplet
188382,193502,41,65,13.0,0.3,Triplet
188382,193502,41,57,13.0,0.3,Triplet
196574,201694,41,57,13.5,0.3,Triplet
196574,201694,41,62,13.5,0.3,Triplet
196574,201694,42,53,13.5,0.3,Triplet
204254,213982,41,57,14.0,0.6,Eighth
204254,213982,41,62,14.0,0.6,Eighth
204254,213982,42,53,14.0,0.6,Eighth
216542,219102,41,57,14.75,0.15,Triplet Sixteenth
216542,219102,41,62,14.75,0.15,Triplet Sixteenth
216542,219102,42,53,14.75,0.15,Triplet Sixteenth
221150,226270,41,57,15.0,0.3,Triplet
221150,226270,41,62,15.0,0.3,Triplet
221150,226270,42,53,15.0,0.3,Triplet
229854,243166,41,57,15.5,0.8,Dotted Eighth
229854,234462,41,62,15.5,0.3,Triplet
229854,243166,42,53,15.5,0.8,Dotted Eighth
238046,243166,41,62,16.0,0.3,Triplet
246749,251870,41,57,16.5,0.3,Triplet
246749,251870,41,62,16.5,0.3,Triplet
246749,251870,42,53,16.5,0.3,Triplet
255454,260574,41,57,17.0,0.3,Triplet
255454,260574,41,62,17.0,0.3,Triplet
255454,260574,42,53,17.0,0.3,Triplet
264158,269278,41,57,17.5,0.3,Triplet
264158,269278,41,72,17.5,0.3,Triplet
264158,269278,42,53,17.5,0.3,Triplet
272862,280542,41,57,18.0,0.6,Eighth
272862,280542,41,72,18.0,0.6,Eighth
272862,280542,42,53,18.0,0.6,Eighth
283102,284638,41,57,18.75,0.15,Triplet Sixteenth
283102,284638,41,74,18.75,0.15,Triplet Sixteenth
283102,284638,42,53,18.75,0.15,Triplet Sixteenth
286686,291294,41,77,19.0,0.3,Triplet
286686,291294,41,57,19.0,0.3,Triplet
286686,291294,42,53,19.0,0.3,Triplet
294878,305118,41,57,19.5,0.8,Dotted Eighth
294878,299998,41,74,19.5,0.3,Triplet
294878,305118,42,53,19.5,0.8,Dotted Eighth
301022,305118,41,72,20.0,0.3,Triplet
308190,312798,42,53,20.5,0.3,Triplet
308190,312798,41,57,20.5,0.3,Triplet
308190,312798,41,69,20.5,0.3,Triplet
316382,320478,41,57,21.0,0.3,Triplet
316382,320478,41,65,21.0,0.3,Triplet
316382,320478,42,53,21.0,0.3,Triplet
324062,329182,41,57,21.5,0.3,Triplet
324062,329182,41,62,21.5,0.3,Triplet
324062,329182,42,53,21.5,0.3,Triplet
332766,341982,41,57,22.0,0.6,Eighth
332766,341982,41,62,22.0,0.6,Eighth
332766,341982,42,53,22.0,0.6,Eighth
344542,347102,41,57,22.75,0.15,Triplet Sixteenth
344542,347102,41,62,22.75,0.15,Triplet Sixteenth
344542,347102,42,53,22.75,0.15,Triplet Sixteenth
349150,353758,41,57,23.0,0.3,Triplet
349150,353758,41,62,23.0,0.3,Triplet
349150,353758,42,53,23.0,0.3,Triplet
357342,371166,41,57,23.5,0.8,Dotted Eighth
357342,362462,41,62,23.5,0.3,Triplet
357342,371166,42,53,23.5,0.8,Dotted Eighth
366045,371166,41,62,24.0,0.3,Triplet
374750,379870,41,57,24.5,0.3,Triplet
374750,379870,41,62,24.5,0.3,Triplet
374750,379870,42,53,24.5,0.3,Triplet
384990,390110,41,57,25.0,0.3,Triplet
384990,390110,41,62,25.0,0.3,Triplet
384990,390110,42,53,25.0,0.3,Triplet
393694,398814,41,57,25.5,0.3,Triplet
393694,398814,41,72,25.5,0.3,Triplet
393694,398814,42,53,25.5,0.3,Triplet
402397,412638,42,53,26.0,0.6,Eighth
402397,412638,41,72,26.0,0.6,Eighth
402397,412638,41,57,26.0,0.6,Eighth
415198,417246,41,74,26.75,0.15,Triplet Sixteenth
415198,417246,41,57,26.75,0.15,Triplet Sixteenth
415198,417246,42,53,26.75,0.15,Triplet Sixteenth
418270,422366,42,53,27.0,0.3,Triplet
418270,422366,41,77,27.0,0.3,Triplet
418270,422366,41,57,27.0,0.3,Triplet
425950,438749,42,53,27.5,0.8,Dotted Eighth
425950,430558,41,74,27.5,0.3,Triplet
425950,438749,41,57,27.5,0.8,Dotted Eighth
433630,444894,43,50,28.0,0.65,Dotted Eighth
433630,438749,41,72,28.0,0.3,Triplet
442334,447966,41,57,28.5,0.3,Triplet
442334,447966,41,69,28.5,0.3,Triplet
442334,447966,42,53,28.5,0.3,Triplet
451550,456158,41,57,29.0,0.3,Triplet
451550,456158,41,65,29.0,0.3,Triplet
451550,456158,42,53,29.0,0.3,Triplet
458718,462302,42,53,29.5,0.3,Triplet
458718,462302,41,62,29.5,0.3,Triplet
458718,462302,41,57,29.5,0.3,Triplet
458718,462814,43,50,29.5,0.325,Triplet
465886,475614,42,53,30.0,0.6,Eighth
465886,475614,41,72,30.0,0.6,Eighth
465886,475614,41,57,30.0,0.6,Eighth
465886,476638,43,48,30.0,0.65,Dotted Eighth
478174,480733,41,57,30.75,0.15,Triplet Sixteenth
478174,480733,41,74,30.75,0.15,Triplet Sixteenth
478174,480733,42,53,30.75,0.15,Triplet Sixteenth
482782,487390,41,57,31.0,0.3,Triplet
482782,487390,41,77,31.0,0.3,Triplet
482782,487390,42,53,31.0,0.3,Triplet
490974,504286,42,53,31.5,0.8,Dotted Eighth
490974,495582,41,74,31.5,0.3,Triplet
490974,504286,41,57,31.5,0.8,Dotted Eighth
499166,509406,43,48,32.0,0.65,Dotted Eighth
499166,504286,41,72,32.0,0.3,Triplet
506846,511966,41,69,32.5,0.3,Triplet
506846,511966,42,53,32.5,0.3,Triplet
506846,511966,41,57,32.5,0.3,Triplet
515549,520670,41,57,33.0,0.3,Triplet
515549,520670,41,65,33.0,0.3,Triplet
515549,520670,42,53,33.0,0.3,Triplet
524766,529886,43,48,33.5,0.325,Triplet
524766,529374,41,57,33.5,0.3,Triplet
524766,529374,41,62,33.5,0.3,Triplet
524766,529374,42,53,33.5,0.3,Triplet
532446,542686,42,53,34.0,0.6,Eighth
532446,542686,41,72,34.0,0.6,Eighth
532446,542686,41,57,34.0,0.6,Eighth
532446,542686,43,46,34.0,0.6,Eighth
545246,547806,41,57,34.75,0.15,Triplet Sixteenth
545246,547806,41,74,34.75,0.1375,Thirty Second
545246,547806,42,53,34.75,0.15,Triplet Sixteenth
549854,554462,42,53,35.0,0.3,Triplet
549854,553950,41,77,35.0,0.275,Sixteenth
549854,554462,41,57,35.0,0.3,Triplet
549854,559582,43,45,35.0,0.6,Eighth
558046,562654,41,74,35.5,0.275,Sixteenth
558046,563166,41,57,35.5,0.3,Triplet
558046,563166,42,53,35.5,0.3,Triplet
566750,576478,41,65,36.0,0.6,Eighth
566750,571358,42,57,36.0,0.3,Triplet
566750,576478,41,72,36.0,0.6,Eighth
566750,576478,43,45,36.0,0.6,Eighth
574942,579550,42,57,36.5,0.3,Triplet
579038,581086,41,74,36.75,0.1375,Thirty Second
579038,581086,41,65,36.75,0.15,Triplet Sixteenth
583134,587742,42,55,37.0,0.3,Triplet
583134,587230,41,77,37.0,0.275,Sixteenth
583134,587742,41,65,37.0,0.3,Triplet
583134,592862,43,47,37.0,0.6,Eighth
591326,595934,41,74,37.5,0.275,Sixteenth
591326,610782,41,65,37.5,1.1,Tied Quarter-Thirty Second
591326,596446,42,55,37.5,0.3,Triplet
600030,610782,43,48,38.0,0.6,Eighth
600030,605662,42,57,38.0,0.3,Triplet
600030,610782,41,72,38.0,0.6,Eighth
609246,614878,42,57,38.5,0.3,Triplet
613854,616414,41,74,38.75,0.1375,Thirty Second
613854,616414,41,65,38.75,0.15,Triplet Sixteenth
618974,623582,41,77,39.0,0.275,Sixteenth
618974,623582,41,65,39.0,0.3,Triplet
618974,623582,42,55,39.0,0.3,Triplet
618974,628190,43,47,39.0,0.6,Eighth
627166,631774,42,55,39.5,0.3,Triplet
627166,631262,41,74,39.5,0.275,Sixteenth
627166,644062,41,65,39.5,1.1,Tied Quarter-Thirty Second
634334,639454,42,62,40.0,0.3,Triplet
634334,639454,41,77,40.0,0.3,Triplet
634334,644062,43,47,40.0,0.6,Eighth
634334,639454,42,55,40.0,0.3,Triplet
643038,647134,42,55,40.5,0.3,Triplet
643038,647134,41,74,40.5,0.3,Triplet
646110,648670,41,65,40.75,0.15,Triplet Sixteenth
650718,656350,42,62,41.0,0.3,Triplet
650718,656350,41,77,41.0,0.3,Triplet
650718,656350,41,65,41.0,0.3,Triplet
650718,656350,42,55,41.0,0.3,Triplet
650718,660958,43,47,41.0,0.6,Eighth
659422,664542,41,65,41.5,0.3,Triplet
659422,664542,41,74,41.5,0.3,Triplet
659422,664542,42,55,41.5,0.3,Triplet
666590,671198,42,57,42.0,0.3,Triplet
666590,671198,41,77,42.0,0.3,Triplet
666590,671198,41,65,42.0,0.3,Triplet
666590,671710,43,48,42.0,0.325,Triplet
674782,679902,41,69,42.5,0.3,Triplet
674782,679902,41,72,42.5,0.3,Triplet
674782,679902,42,53,42.5,0.3,Triplet
683486,696798,42,60,43.0,0.8,Dotted Eighth
683486,687582,41,70,43.0,0.3,Triplet
683486,687582,41,67,43.0,0.3,Triplet
683486,688094,43,48,43.0,0.325,Triplet
691678,696798,41,67,43.5,0.3,Triplet
691678,696798,41,65,43.5,0.3,Triplet
691678,697310,43,36,43.5,0.325,Triplet
700382,705502,41,65,44.0,0.3,Triplet
700382,706014,43,48,44.0,0.325,Triplet
700382,705502,41,77,44.0,0.3,Triplet
700382,705502,42,57,44.0,0.3,Triplet
709085,714206,41,69,44.5,0.3,Triplet
709085,714206,41,72,44.5,0.3,Triplet
709085,714206,42,53,44.5,0.3,Triplet
717789,722910,43,48,45.0,0.325,Triplet
717789,722398,41,70,45.0,0.3,Triplet
717789,722398,41,67,45.0,0.3,Triplet
717789,730078,42,60,45.0,0.8,Dotted Eighth
724958,730078,41,67,45.5,0.3,Triplet
