start_time,end_time,instrument,note,start_beat,end_beat,note_value
104414,171486,1,48,0.0,2.0,Half
104414,171486,1,41,0.0,2.0,Half
104414,152030,1,48,0.0,1.5,Dotted Quarter
104414,152030,1,60,0.0,1.5,Dotted Quarter
104414,171486,1,57,0.0,2.0,Half
104414,171486,1,60,0.0,2.0,Half
152030,171486,1,65,1.5,0.5,Eighth
152030,171486,1,53,1.5,0.5,Eighth
171486,202717,1,69,2.0,1.0,Quarter
171486,202717,1,57,2.0,1.0,Quarter
202717,237021,1,74,3.0,1.0,Quarter
202717,237021,1,62,3.0,1.0,Quarter
237021,301534,1,48,4.0,2.0,Half
237021,286174,1,72,4.0,1.5,Dotted Quarter
237021,286174,1,60,4.0,1.5,Dotted Quarter
237021,301534,1,67,4.0,2.0,Half
237021,301534,1,55,4.0,2.0,Half
237021,301534,1,40,4.0,2.0,Half
286174,301534,1,58,5.5,0.5,Eighth
286174,301534,1,70,5.5,0.5,Eighth
301534,330718,1,67,6.0,1.0,Quarter
301534,330718,1,55,6.0,1.0,Quarter
330718,366558,1,69,7.0,1.0,Quarter
330718,366558,1,57,7.0,1.0,Quarter
366558,428510,1,38,8.0,2.0,Half
366558,428510,1,65,8.0,2.0,Half
366558,428510,1,57,8.0,2.0,Half
366558,428510,1,53,8.0,2.0,Half
366558,428510,1,50,8.0,2.0,Half
366558,428510,1,45,8.0,2.0,Half
428510,498142,1,40,10.0,2.0,Half
428510,498142,1,70,10.0,2.0,Half
428510,498142,1,67,10.0,2.0,Half
428510,498142,1,58,10.0,2.0,Half
428510,498142,1,52,10.0,2.0,Half
428510,498142,1,48,10.0,2.0,Half
428510,518622,1,60,10.0,2.5,Half
498142,518622,1,53,12.0,0.5,Eighth
498142,518622,1,69,12.0,0.5,Eighth
498142,518622,1,57,12.0,0.5,Eighth
498142,518622,1,65,12.0,0.5,Eighth
498142,518622,1,48,12.0,0.5,Eighth
498142,518622,1,41,12.0,0.5,Eighth
540126,560094,1,60,13.0,0.75,Dotted Eighth
540126,560094,1,48,13.0,0.75,Dotted Eighth
560094,565214,1,61,13.75,0.191666666667,Triplet Sixteenth
560094,563678,1,49,13.75,0.125,Thirty Second
563678,566238,1,48,13.875,0.125,Thirty Second
